#GaiaDR3-ULENS-,t_0_par,t_0,err_t_0_pl,err_t_0_mn,u_0,err_u_0_pl,err_u_0_mn,t_E,err_t_E_pl,err_t_E_mn,pi_EN,err_pi_EN_pl,err_pi_EN_mn,pi_EE,err_pi_EE_pl,err_pi_EE_mn,I_G0,err_I_G0_pl,err_I_G0_mn,fb_G,err_fb_G_pl,err_fb_G_mn,I_BP0,err_I_BP0_pl,err_I_BP0_mn,f_bBP,err_f_bBP_pl,err_f_bBP_mn,I_RP0,err_I_RP0_pl,err_I_RP0_mn,f_bRP,err_f_bRP_pl,err_f_bRP_mn,I_GSA,err_I_GSA_pl,err_I_GSA_mn,f_bGSA,err_f_bGSA_pl,err_f_bGSA_mn,I_V0,err_I_V0_pl,err_I_V0_mn,f_bV,err_f_bV_pl,err_f_bV_mn,I_OGLE0,err_I_OGLE0_pl,err_I_OGLE0_mn,f_bOGLE,err_f_bOGLE_pl,err_f_bOGLE_mn,I_KMTA,err_I_KMTA_pl,err_I_KMTA_mn,f_bKMTA,err_f_bKMTA_pl,err_f_bKMTA_mn,I_KMTC,err_I_KMTC_pl,err_I_KMTC_mn,f_bKMTC,err_f_bKMTC_pl,err_f_bKMTC_mn,I_KMTS,err_I_KMTS_pl,err_I_KMTS_mn,f_bKMTS,err_f_bKMTS_pl,err_f_bKMTS_mn,I_MOA,err_I_MOA_pl,err_I_MOA_mn,f_bMOA,err_f_bMOA_pl,err_f_bMOA_mn,MOA_V,err_I_MOA_V_pl ,err_I_MOA_V_mn  ,f_b_MOA_V,err_f_bMOA_V_pl ,err_f_bMOA_V_mn,chi2,comment
047-G0,--,7265.68,0.01,0.01,0.12,0.01,0.01,71.15,0.12,0.13,--,--,--,--,--,--,16.62,0.01,0.01,-0.34,0.01,0.01,19.12,0.01,0.01,-0.31,0.01,0.01,15.21,0.01,0.01,-0.34,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.13,0.01,0.01,-3.04,0.01,0.01,15.76,0.01,0.01,-2.08,0.01,0.01,16.62,0.01,0.01,-3.01,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,372738.57,
047-G+,7265.00,7265.24,0.01,0.01,0.09,0.01,0.01,86.20,0.46,0.44,-0.38,0.01,0.01,-0.06,0.01,0.01,16.63,0.01,0.01,-0.00,0.01,0.01,19.12,0.01,0.01,0.01,0.01,0.01,15.22,0.01,0.01,-0.01,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.11,0.01,0.01,-1.92,0.02,0.02,15.74,0.01,0.01,-1.21,0.02,0.02,16.60,0.01,0.01,-1.91,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,403613.85,
047-G-,7265.00,7265.27,0.01,0.01,-0.09,0.01,0.01,92.13,0.68,0.67,-0.38,0.01,0.01,-0.08,0.01,0.01,16.62,0.01,0.01,0.05,0.01,0.01,19.12,0.01,0.01,0.07,0.01,0.01,15.22,0.01,0.01,0.04,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.13,0.01,0.01,-2.00,0.02,0.02,15.76,0.01,0.01,-1.26,0.02,0.02,16.62,0.01,0.01,-1.99,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,403583.26,
057-G0,--,7443.02,8.08,4.83,0.10,0.06,0.05,79.86,41.02,16.09,--,--,--,--,--,--,16.80,0.01,0.01,0.48,0.29,0.36,17.52,0.01,0.01,0.49,0.29,0.36,15.90,0.01,0.01,0.51,0.28,0.34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12.46,
069-G0,--,7329.41,0.04,0.04,0.14,0.01,0.01,103.59,0.23,0.23,--,--,--,--,--,--,17.07,0.01,0.01,0.14,0.01,0.01,18.21,0.01,0.01,0.23,0.01,0.01,15.86,0.01,0.01,0.23,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.78,0.01,0.01,0.05,0.01,0.01,15.78,0.01,0.01,-0.00,0.01,0.01,15.69,0.01,0.01,0.17,0.01,0.01,17.86,0.01,0.01,0.24,0.01,0.01,62404.76,
069-G+,7328.00,7329.73,0.05,0.05,0.14,0.01,0.01,100.42,0.67,0.68,-0.06,0.01,0.01,0.01,0.01,0.01,17.07,0.01,0.01,0.11,0.01,0.01,18.21,0.01,0.01,0.20,0.01,0.01,15.86,0.01,0.01,0.20,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.78,0.01,0.01,-0.06,0.01,0.01,15.77,0.01,0.01,-0.12,0.01,0.02,15.69,0.01,0.01,0.14,0.01,0.01,17.86,0.01,0.01,0.22,0.01,0.01,59367.92,
069-G-,7328.00,7329.94,0.05,0.05,-0.15,0.01,0.01,99.03,0.64,0.61,-0.08,0.01,0.01,0.02,0.01,0.01,17.07,0.01,0.01,0.06,0.01,0.01,18.21,0.01,0.01,0.16,0.01,0.01,15.86,0.01,0.01,0.16,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15.78,0.01,0.01,-0.13,0.01,0.01,15.78,0.01,0.01,-0.19,0.01,0.01,15.69,0.01,0.01,0.09,0.01,0.01,17.86,0.01,0.01,0.17,0.01,0.01,59424.88,
073-G0,--,7406.47,0.12,0.12,0.39,0.01,0.01,104.91,0.91,0.90,--,--,--,--,--,--,17.13,0.01,0.01,-0.18,0.02,0.02,--,--,--,--,--,--,15.99,0.01,0.01,0.21,0.02,0.02,--,--,--,--,--,--,16.02,0.01,0.01,-0.14,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.03,0.01,0.01,-0.09,0.02,0.02,17.70,0.01,0.01,-0.11,0.02,0.02,7198.64,
073-G+,7406.00,7408.38,0.44,0.42,0.33,0.03,0.03,119.89,9.46,6.52,-0.01,0.01,0.01,-0.02,0.01,0.01,17.14,0.01,0.01,0.08,0.12,0.11,--,--,--,--,--,--,15.99,0.01,0.01,0.38,0.08,0.07,--,--,--,--,--,--,16.02,0.01,0.01,0.12,0.12,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.03,0.01,0.01,0.15,0.11,0.10,17.70,0.01,0.01,0.14,0.11,0.10,7113.19,
073-G-,7406.00,7408.13,0.35,0.33,-0.36,0.02,0.02,114.08,4.42,3.46,0.04,0.01,0.01,-0.01,0.01,0.01,17.14,0.01,0.01,-0.03,0.07,0.06,--,--,--,--,--,--,15.99,0.01,0.01,0.31,0.05,0.04,--,--,--,--,--,--,16.02,0.01,0.01,0.01,0.07,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16.03,0.01,0.01,0.05,0.07,0.06,17.70,0.01,0.01,0.04,0.07,0.06,7099.96,
