#GaiaDR3-ULENS-,t_0_par,t_0,err_t_0_pl,err_t_0_mn,u_0,err_u_0_pl,err_u_0_mn,t_E,err_t_E_pl,err_t_E_mn,pi_EN,err_pi_EN_pl,err_pi_EN_mn,pi_EE,err_pi_EE_pl,err_pi_EE_mn,I_G0,err_I_G0_pl,err_I_G0_mn,fb_G,err_fb_G_pl,err_fb_G_mn,I_BP0,err_I_BP0_pl,err_I_BP0_mn,f_bBP,err_f_bBP_pl,err_f_bBP_mn,I_RP0,err_I_RP0_pl,err_I_RP0_mn,f_bRP,err_f_bRP_pl,err_f_bRP_mn,I_GSA,err_I_GSA_pl,err_I_GSA_mn,f_bGSA,err_f_bGSA_pl,err_f_bGSA_mn,I_V0,err_I_V0_pl,err_I_V0_mn,f_bV,err_f_bV_pl,err_f_bV_mn,I_OGLE0,err_I_OGLE0_pl,err_I_OGLE0_mn,f_bOGLE,err_f_bOGLE_pl,err_f_bOGLE_mn,I_KMTA,err_I_KMTA_pl,err_I_KMTA_mn,f_bKMTA,err_f_bKMTA_pl,err_f_bKMTA_mn,I_KMTC,err_I_KMTC_pl,err_I_KMTC_mn,f_bKMTC,err_f_bKMTC_pl,err_f_bKMTC_mn,I_KMTS,err_I_KMTS_pl,err_I_KMTS_mn,f_bKMTS,err_f_bKMTS_pl,err_f_bKMTS_mn,I_MOA,err_I_MOA_pl,err_I_MOA_mn,f_bMOA,err_f_bMOA_pl,err_f_bMOA_mn,MOA_V,err_I_MOA_V_pl ,err_I_MOA_V_mn  ,f_b_MOA_V,err_f_bMOA_V_pl ,err_f_bMOA_V_mn,chi2,comment
230-G2-,7123.00,7124.91,113.71,45.81,-0.11,0.04,0.03,1522.35,342.14,532.83,1.62,0.28,0.50,1.19,0.57,0.82,18.72,0.01,0.01,0.97,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.54,0.01,0.01,0.97,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4077.75,
259-G0,--,7879.63,0.48,0.45,0.05,0.01,0.01,117.00,9.39,8.37,--,--,--,--,--,--,18.95,0.01,0.01,0.41,0.06,0.07,--,--,--,--,--,--,18.11,0.01,0.01,0.44,0.06,0.06,--,--,--,--,--,--,20.10,0.01,0.01,0.45,0.06,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,297.92,
259-G+,7879.00,7879.62,0.56,0.53,0.08,0.03,0.03,86.96,35.45,17.95,0.13,0.08,0.09,0.11,0.11,0.12,18.95,0.01,0.01,0.13,0.30,0.31,--,--,--,--,--,--,18.11,0.01,0.01,0.17,0.28,0.30,--,--,--,--,--,--,20.10,0.01,0.01,0.19,0.28,0.30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,294.24,
259-G-,7879.00,7879.91,0.55,0.51,-0.08,0.03,0.03,85.21,38.54,19.40,0.14,0.10,0.11,0.11,0.13,0.13,18.95,0.01,0.01,0.12,0.31,0.36,--,--,--,--,--,--,18.11,0.01,0.01,0.16,0.30,0.34,--,--,--,--,--,--,20.10,0.01,0.01,0.18,0.29,0.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,294.31,
259-GSA0,--,7879.78,0.35,0.33,0.05,0.01,0.01,119.84,7.49,6.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.99,0.01,0.01,0.43,0.05,0.05,20.10,0.01,0.01,0.46,0.05,0.05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,378.97,
259-GSA+,7879.00,7879.81,0.37,0.33,0.06,0.01,0.01,108.28,14.11,10.18,0.12,0.05,0.06,0.02,0.03,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.99,0.01,0.01,0.33,0.11,0.10,20.10,0.01,0.01,0.37,0.10,0.10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,366.06,
259-GSA-,7879.00,7880.08,0.37,0.35,-0.07,0.01,0.01,99.36,12.46,9.68,0.15,0.05,0.06,0.04,0.03,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.99,0.01,0.01,0.27,0.11,0.11,20.10,0.01,0.01,0.31,0.10,0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,365.57,
270-G0,--,7511.77,0.08,0.08,0.70,0.04,0.04,70.46,2.64,2.68,--,--,--,--,--,--,19.09,0.01,0.01,-0.20,0.10,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.53,0.01,0.01,-0.16,0.10,0.12,--,--,--,--,--,--,18.09,0.01,0.01,-0.75,0.14,0.17,18.09,0.01,0.01,-1.34,0.19,0.22,18.10,0.01,0.01,-0.31,0.11,0.13,--,--,--,--,--,--,--,--,--,--,--,--,6475.64,
270-G0,--,7511.77,0.08,0.08,0.70,0.04,0.04,70.46,2.64,2.68,--,--,--,--,--,--,19.09,0.01,0.01,-0.20,0.10,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.53,0.01,0.01,-0.16,0.10,0.12,--,--,--,--,--,--,18.09,0.01,0.01,-0.75,0.14,0.17,18.09,0.01,0.01,-1.34,0.19,0.22,18.10,0.01,0.01,-0.31,0.11,0.13,--,--,--,--,--,--,--,--,--,--,--,--,6475.64,
270-G+,7511.00,7513.93,0.14,0.14,0.69,0.05,0.05,72.49,3.13,2.95,-0.07,0.03,0.03,-0.21,0.03,0.03,19.10,0.01,0.01,-0.22,0.14,0.16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.54,0.01,0.01,-0.14,0.13,0.15,--,--,--,--,--,--,18.09,0.01,0.01,-0.74,0.20,0.22,18.10,0.01,0.01,-1.34,0.27,0.30,18.11,0.01,0.01,-0.30,0.15,0.17,--,--,--,--,--,--,--,--,--,--,--,--,5820.14,
270-G-,7511.00,7513.92,0.16,0.17,-0.66,0.04,0.04,74.75,2.74,2.68,0.11,0.05,0.05,-0.20,0.02,0.02,19.10,0.01,0.01,-0.11,0.11,0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.54,0.01,0.01,-0.04,0.10,0.11,--,--,--,--,--,--,18.09,0.01,0.01,-0.59,0.15,0.17,18.10,0.01,0.01,-1.13,0.20,0.23,18.11,0.01,0.01,-0.18,0.11,0.13,--,--,--,--,--,--,--,--,--,--,--,--,5823.5,
275-G0,--,7247.39,0.20,0.20,0.01,0.02,0.02,180.98,15.62,14.33,--,--,--,--,--,--,19.13,0.01,0.01,0.72,0.03,0.03,--,--,--,--,--,--,17.59,0.01,0.01,0.76,0.02,0.02,--,--,--,--,--,--,19.79,0.01,0.01,0.72,0.02,0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,239.38,
275-G+,7247.00,7247.90,0.24,0.24,-0.00,0.03,0.03,129.62,24.62,17.86,0.08,0.10,0.10,0.09,0.03,0.03,19.11,0.01,0.01,0.60,0.07,0.08,--,--,--,--,--,--,17.57,0.01,0.01,0.66,0.06,0.07,--,--,--,--,--,--,19.77,0.01,0.01,0.61,0.07,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,202.38,
284-G0,--,7841.30,0.01,0.01,0.03,0.01,0.01,20.22,0.14,0.14,--,--,--,--,--,--,19.31,0.01,0.01,-0.04,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.14,0.01,0.01,-0.05,0.01,0.01,--,--,--,--,--,--,18.19,0.01,0.01,-0.28,0.01,0.01,18.19,0.01,0.01,-0.85,0.01,0.01,18.20,0.01,0.01,-0.02,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,22377.89,
284-G1+,7841.00,7841.31,0.01,0.01,0.03,0.01,0.01,21.08,0.29,0.28,-3.38,0.53,0.45,-0.16,0.05,0.05,19.30,0.01,0.01,0.02,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.14,0.01,0.01,-0.01,0.02,0.02,--,--,--,--,--,--,18.18,0.01,0.01,-0.23,0.02,0.02,18.19,0.01,0.01,-0.77,0.03,0.03,18.20,0.01,0.01,0.03,0.01,0.02,--,--,--,--,--,--,--,--,--,--,--,--,22250.98,
284-G2+,7841.00,7841.30,0.01,0.01,0.03,0.01,0.01,20.80,0.25,0.24,3.17,0.44,0.49,0.12,0.06,0.06,19.31,0.01,0.01,-0.00,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.14,0.01,0.01,-0.01,0.02,0.01,--,--,--,--,--,--,18.18,0.01,0.01,-0.23,0.02,0.02,18.19,0.01,0.01,-0.77,0.03,0.03,18.20,0.01,0.01,0.03,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,22250.78,
284-G1-,7841.00,7841.30,0.01,0.01,-0.03,0.01,0.01,20.79,0.25,0.25,-3.38,0.53,0.45,-0.15,0.05,0.05,19.30,0.01,0.01,0.01,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.14,0.01,0.01,-0.01,0.02,0.02,--,--,--,--,--,--,18.18,0.01,0.01,-0.23,0.02,0.02,18.19,0.01,0.01,-0.77,0.03,0.03,18.20,0.01,0.01,0.03,0.01,0.02,--,--,--,--,--,--,--,--,--,--,--,--,22251.02,
284-G2-,7841.00,7841.31,0.01,0.01,-0.03,0.01,0.01,21.07,0.28,0.28,3.19,0.43,0.50,0.12,0.06,0.06,19.31,0.01,0.01,0.01,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.14,0.01,0.01,-0.01,0.01,0.01,--,--,--,--,--,--,18.18,0.01,0.01,-0.23,0.02,0.02,18.19,0.01,0.01,-0.77,0.03,0.03,18.20,0.01,0.01,0.03,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,22250.13,
326-G0,--,7315.20,1.35,1.43,0.92,0.14,0.13,133.35,14.15,11.58,--,--,--,--,--,--,19.95,0.01,0.01,-0.92,0.50,0.65,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.36,0.01,0.01,-0.48,0.38,0.50,--,--,--,--,--,--,18.25,0.01,0.01,-0.42,0.36,0.46,18.25,0.01,0.01,-0.88,0.47,0.61,18.25,0.01,0.01,-0.25,0.31,0.41,--,--,--,--,--,--,--,--,--,--,--,--,6720.81,
326-G-,7048.00,7252.15,7.59,8.40,-0.31,0.13,0.10,138.30,13.91,13.05,-0.14,0.01,0.02,0.12,0.02,0.01,19.94,0.01,0.01,0.49,0.09,0.15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.36,0.01,0.01,0.53,0.09,0.13,--,--,--,--,--,--,18.25,0.01,0.01,0.54,0.08,0.12,18.24,0.01,0.01,0.40,0.10,0.16,18.25,0.01,0.01,0.59,0.07,0.11,--,--,--,--,--,--,--,--,--,--,--,--,6437.69,
331-G0,--,7679.36,0.05,0.04,0.10,0.01,0.01,72.58,0.70,0.70,--,--,--,--,--,--,20.01,0.01,0.01,-0.04,0.01,0.01,--,--,--,--,--,--,18.71,0.01,0.01,-0.11,0.02,0.02,--,--,--,--,--,--,18.37,0.01,0.01,0.11,0.01,0.01,--,--,--,--,--,--,18.86,0.01,0.01,-0.37,0.02,0.02,18.89,0.01,0.01,-0.54,0.02,0.02,18.90,0.01,0.01,-0.79,0.02,0.02,--,--,--,--,--,--,--,--,--,--,--,--,6687.25,
331-G+,7679.00,7679.39,0.05,0.05,0.11,0.01,0.01,68.77,2.53,2.32,0.08,0.09,0.09,0.05,0.03,0.03,20.00,0.01,0.01,-0.11,0.05,0.05,--,--,--,--,--,--,18.70,0.01,0.01,-0.19,0.05,0.05,--,--,--,--,--,--,18.37,0.01,0.01,0.05,0.04,0.04,--,--,--,--,--,--,18.86,0.01,0.01,-0.48,0.07,0.07,18.89,0.01,0.01,-0.66,0.08,0.08,18.90,0.01,0.01,-0.94,0.09,0.09,--,--,--,--,--,--,--,--,--,--,--,--,6681.1,
331-G-,7679.00,7679.38,0.05,0.04,-0.11,0.01,0.01,68.47,2.57,2.45,0.03,0.09,0.09,0.04,0.03,0.03,20.00,0.01,0.01,-0.11,0.05,0.05,--,--,--,--,--,--,18.70,0.01,0.01,-0.19,0.05,0.05,--,--,--,--,--,--,18.37,0.01,0.01,0.05,0.04,0.04,--,--,--,--,--,--,18.86,0.01,0.01,-0.47,0.07,0.07,18.89,0.01,0.01,-0.66,0.08,0.08,18.90,0.01,0.01,-0.93,0.09,0.09,--,--,--,--,--,--,--,--,--,--,--,--,6681.35,
343-G0,--,7890.74,0.01,0.01,0.02,0.01,0.01,113.09,0.54,0.55,--,--,--,--,--,--,20.30,0.01,0.01,-0.10,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.91,0.01,0.01,0.10,0.01,0.01,--,--,--,--,--,--,17.55,0.01,0.01,0.90,0.01,0.01,17.54,0.01,0.01,0.69,0.01,0.01,17.55,0.01,0.01,0.69,0.01,0.01,18.98,0.01,0.01,-0.02,0.01,0.01,20.69,0.01,0.01,-0.06,0.01,0.01,27558.11,
343-G+,7890.00,7890.72,0.01,0.01,0.02,0.01,0.01,115.81,0.87,0.80,0.06,0.02,0.02,0.07,0.01,0.01,20.27,0.01,0.01,-0.04,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.91,0.01,0.01,0.13,0.01,0.01,--,--,--,--,--,--,17.55,0.01,0.01,0.90,0.01,0.01,17.54,0.01,0.01,0.70,0.01,0.01,17.55,0.01,0.01,0.70,0.01,0.01,18.97,0.01,0.01,0.01,0.01,0.01,20.68,0.01,0.01,-0.03,0.01,0.01,26443.83,
343-G-,7890.00,7890.73,0.01,0.01,-0.02,0.01,0.01,116.14,0.94,0.89,0.06,0.02,0.02,0.07,0.01,0.01,20.27,0.01,0.01,-0.04,0.01,0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.91,0.01,0.01,0.13,0.01,0.01,--,--,--,--,--,--,17.55,0.01,0.01,0.90,0.01,0.01,17.54,0.01,0.01,0.70,0.01,0.01,17.55,0.01,0.01,0.70,0.01,0.01,18.97,0.01,0.01,0.01,0.01,0.01,20.68,0.01,0.01,-0.03,0.01,0.01,26444.49,
353-G0,--,7843.81,0.18,0.17,0.37,0.02,0.02,108.91,3.54,3.43,--,--,--,--,--,--,20.50,0.01,0.01,-0.35,0.08,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.50,0.01,0.01,-0.75,0.10,0.11,--,--,--,--,--,--,18.62,0.01,0.01,0.24,0.04,0.05,--,--,--,--,--,--,18.41,0.01,0.01,0.28,0.04,0.04,20.46,0.01,0.01,-3.67,0.27,0.30,22.32,0.01,0.01,-2.17,0.19,0.20,13890.02,
353-G+,7844.00,7845.02,0.23,0.25,0.36,0.03,0.04,117.71,7.30,5.32,-0.06,0.05,0.04,-0.08,0.01,0.01,20.57,0.01,0.01,-0.43,0.19,0.18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.51,0.01,0.01,-0.74,0.25,0.24,--,--,--,--,--,--,18.61,0.01,0.01,0.26,0.11,0.10,--,--,--,--,--,--,18.40,0.01,0.01,0.30,0.10,0.09,20.47,0.01,0.01,-3.67,0.68,0.63,22.33,0.01,0.01,-2.18,0.46,0.43,13685.7,
353-G-,7844.00,7845.25,0.25,0.26,-0.32,0.01,0.01,134.11,8.85,8.19,0.08,0.05,0.06,-0.08,0.01,0.01,20.58,0.01,0.01,-0.19,0.07,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.51,0.01,0.01,-0.44,0.08,0.08,--,--,--,--,--,--,18.61,0.01,0.01,0.39,0.03,0.03,--,--,--,--,--,--,18.40,0.01,0.01,0.42,0.03,0.03,20.47,0.01,0.01,-2.86,0.21,0.22,22.33,0.01,0.01,-1.63,0.14,0.15,13689.95,
359-G0,--,7653.51,0.04,0.04,0.16,0.01,0.01,56.96,1.21,1.19,--,--,--,--,--,--,20.64,0.01,0.01,-0.90,0.06,0.06,--,--,--,--,--,--,19.55,0.01,0.01,-0.95,0.06,0.06,--,--,--,--,--,--,19.36,0.01,0.01,-0.69,0.05,0.06,--,--,--,--,--,--,19.71,0.01,0.01,-1.21,0.06,0.06,19.72,0.01,0.01,-2.14,0.08,0.08,19.77,0.01,0.01,-1.85,0.07,0.08,--,--,--,--,--,--,--,--,--,--,--,--,5355.04,
359-G+,7653.00,7652.81,0.05,0.05,0.02,0.01,0.01,359.52,68.96,50.93,-0.32,0.04,0.04,-0.12,0.02,0.02,20.70,0.01,0.01,0.80,0.03,0.03,--,--,--,--,--,--,19.63,0.01,0.01,0.78,0.04,0.04,--,--,--,--,--,--,19.36,0.01,0.01,0.81,0.03,0.03,--,--,--,--,--,--,19.76,0.01,0.01,0.74,0.04,0.04,19.78,0.02,0.02,0.64,0.06,0.06,19.82,0.02,0.02,0.68,0.05,0.05,--,--,--,--,--,--,--,--,--,--,--,--,4795.95,
359-G-,7653.00,7652.65,0.09,0.09,-0.02,0.01,0.01,470.49,82.25,79.63,-0.32,0.03,0.04,-0.17,0.02,0.02,20.71,0.01,0.01,0.80,0.03,0.04,--,--,--,--,--,--,19.63,0.01,0.01,0.79,0.03,0.04,--,--,--,--,--,--,19.36,0.01,0.01,0.80,0.03,0.04,--,--,--,--,--,--,19.76,0.01,0.01,0.73,0.04,0.05,19.78,0.02,0.02,0.62,0.05,0.07,19.82,0.02,0.02,0.66,0.04,0.06,--,--,--,--,--,--,--,--,--,--,--,--,4806.27,
363-G0,--,7798.45,0.95,0.95,0.18,0.02,0.02,161.81,10.58,9.64,--,--,--,--,--,--,20.95,0.01,0.01,0.38,0.05,0.06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.50,0.01,0.01,0.27,0.07,0.08,--,--,--,--,--,--,19.48,0.01,0.01,0.58,0.04,0.04,19.52,0.01,0.01,0.29,0.06,0.07,19.51,0.01,0.01,0.25,0.07,0.07,--,--,--,--,--,--,--,--,--,--,--,--,6652.23,
363-G+,7797.00,7798.29,1.04,1.34,0.29,0.09,0.06,87.59,16.18,14.12,0.23,0.03,0.04,0.20,0.05,0.04,20.95,0.02,0.02,-0.13,0.27,0.42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.49,0.01,0.01,-0.32,0.36,0.57,--,--,--,--,--,--,19.47,0.01,0.01,0.26,0.20,0.31,19.51,0.01,0.01,-0.24,0.34,0.52,19.49,0.01,0.01,-0.31,0.36,0.56,--,--,--,--,--,--,--,--,--,--,--,--,6527.29,
363-G-,7797.00,7798.28,1.06,1.45,-0.29,0.06,0.09,84.11,14.66,11.95,-0.27,0.04,0.04,0.21,0.05,0.04,20.95,0.02,0.02,-0.18,0.27,0.41,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.50,0.01,0.01,-0.37,0.35,0.57,--,--,--,--,--,--,19.47,0.01,0.01,0.23,0.20,0.32,19.51,0.01,0.01,-0.29,0.33,0.54,19.49,0.01,0.01,-0.36,0.35,0.57,--,--,--,--,--,--,--,--,--,--,--,--,6524.48,
