#GaiaDR3-ULENS,MF,ML,err_ML_pl,err_ML_mn,DL,err_DL_pl,err_DL_pl,lens_mag,err_lens_mag_pl,err_lens_mag_mn,blend_mag,err_blend_pl,err_blend_mn,theta_e,err_theta_e_pl,err_theta_e_mn,max_astro_disp,err_max_astro_disp_pl,err_max_astro_disp_mn,lens_prop_mot,err_lens_prop_mot_pl,err_lens_prop_mot_mn,transverse_vel,err_vt_pl,err_vt_mn,dark_lens_prob
097-G-,M2021,2.22,1.83,1.08,5.26,1.29,1.70,17.36,2.68,1.45,18.77,3.09,0.74,1.24,0.44,0.41,0.44,0.59,0.29,2.55,0.46,0.43,63.41,26.96,31.30,58.77
097-G-,M^-1,1.99,3.50,1.28,5.36,1.32,1.92,17.64,5.00,1.91,18.77,3.10,0.74,1.16,0.53,0.46,0.41,0.60,0.25,2.63,0.54,0.47,66.73,30.26,35.93,55.11
118-G+,K2001,0.22,0.25,0.13,0.49,0.47,0.23,20.19,4.75,3.91,20.24,4.76,1.32,1.71,1.83,0.95,0.60,1.25,0.27,9.36,1.85,1.00,21.63,25.09,12.68,57.95
118-G+,M2021,0.58,0.37,0.27,0.24,0.18,0.07,15.09,3.73,3.50,20.23,4.77,1.31,4.14,1.85,1.89,1.47,2.12,0.80,19.60,1.88,1.92,22.48,18.68,8.67,90.83
118-G+,M^-1,0.28,0.32,0.17,0.42,0.46,0.20,19.18,4.95,4.32,20.23,4.77,1.31,2.09,2.24,1.23,0.74,1.53,0.30,11.06,2.26,1.27,21.81,28.68,12.88,64.76
118-G-,K2001,0.21,0.25,0.12,0.46,0.45,0.23,20.21,4.82,4.02,19.90,5.10,1.06,1.72,1.93,0.95,0.61,1.29,0.27,8.88,1.95,1.00,19.54,23.39,11.81,55.45
118-G-,M2021,0.57,0.36,0.27,0.22,0.17,0.06,14.91,3.79,3.51,19.90,5.10,1.06,4.37,2.00,2.03,1.55,2.25,0.83,19.40,2.02,2.06,20.04,17.34,7.87,90.67
118-G-,M^-1,0.27,0.31,0.16,0.39,0.46,0.19,19.12,5.15,4.35,19.90,5.10,1.06,2.13,2.37,1.28,0.75,1.59,0.30,10.64,2.38,1.32,19.66,27.44,12.01,62.89
142-G1+,K2001,0.86,0.47,0.33,6.07,0.77,0.59,23.77,3.08,2.54,22.96,2.04,3.25,0.58,0.27,0.20,0.21,0.30,0.13,7.60,0.30,0.24,218.72,36.18,28.26,48.52
142-G1+,M2021,1.21,0.51,0.37,5.78,0.63,0.52,21.68,2.20,1.50,22.96,2.04,3.25,0.78,0.26,0.22,0.28,0.37,0.20,8.12,0.29,0.25,222.56,31.95,27.11,73.75
142-G1+,M^-1,1.10,0.54,0.41,5.88,0.73,0.57,22.21,3.07,1.87,22.96,2.04,3.25,0.72,0.28,0.24,0.25,0.35,0.17,7.95,0.31,0.27,221.71,36.19,29.09,65.00
142-G2+,K2001,1.85,2.53,1.53,1.33,4.52,0.65,16.04,12.47,4.95,18.77,0.29,0.14,3.01,3.79,2.62,1.06,2.41,0.14,13.06,3.79,2.63,82.21,303.94,56.78,61.86
142-G2+,M2021,4.48,2.26,2.02,0.70,0.42,0.22,11.09,3.11,1.75,18.77,0.29,0.14,6.86,3.21,2.96,2.43,3.57,1.38,22.68,3.22,2.96,75.35,56.27,33.38,97.78
142-G2+,M^-1,4.20,2.35,2.05,0.73,0.50,0.24,11.40,3.53,1.97,18.77,0.29,0.14,6.46,3.39,3.01,2.29,3.49,1.22,21.66,3.39,3.01,75.46,62.72,35.36,94.57
142-G2-,K2001,0.83,0.45,0.31,6.09,0.76,0.62,23.96,2.94,2.56,25.00,0.00,4.75,0.58,0.26,0.20,0.21,0.30,0.14,7.14,0.29,0.23,206.03,34.10,27.61,44.63
142-G2-,M2021,1.14,0.48,0.34,5.80,0.65,0.54,21.99,2.16,1.66,25.00,0.00,4.74,0.76,0.26,0.20,0.27,0.36,0.20,7.63,0.29,0.24,209.78,31.25,26.17,67.72
142-G2-,M^-1,1.04,0.50,0.38,5.90,0.69,0.58,22.49,3.03,1.95,25.00,0.00,4.74,0.70,0.27,0.23,0.25,0.34,0.17,7.46,0.30,0.26,208.75,32.86,27.84,59.23
155-G+,K2001,1.41,0.80,0.56,5.53,1.08,2.33,17.97,3.14,1.99,19.89,0.13,0.11,1.04,0.52,0.45,0.37,0.55,0.21,5.69,0.56,0.49,149.19,43.83,75.70,75.52
155-G+,M2021,1.96,1.32,0.69,5.50,0.97,2.27,16.50,2.06,1.43,19.89,0.13,0.11,1.26,0.46,0.44,0.45,0.61,0.29,5.50,0.50,0.48,143.35,38.36,71.81,93.58
155-G+,M^-1,1.87,1.20,0.68,5.51,1.00,2.30,16.65,2.25,1.51,19.89,0.13,0.11,1.22,0.48,0.44,0.43,0.60,0.28,5.46,0.52,0.48,142.54,39.46,72.00,90.53
270-G+,K2001,0.15,0.11,0.06,6.33,0.92,0.84,31.10,2.08,1.92,25.00,0.00,0.00,0.25,0.14,0.09,0.09,0.14,0.06,4.24,0.56,0.55,127.11,35.14,33.19,3.02
270-G+,M2021,0.79,1.14,0.60,1.64,4.62,0.87,20.41,9.90,7.13,25.00,0.00,0.00,1.63,2.47,1.34,0.58,1.45,0.10,10.82,2.53,1.44,84.32,256.82,55.61,56.57
270-G+,M^-1,0.17,0.16,0.07,6.17,1.01,0.95,30.63,2.24,2.18,25.00,0.00,0.00,0.28,0.19,0.10,0.10,0.17,0.06,4.32,0.57,0.55,126.23,37.41,35.54,9.95
270-G-,K2001,0.17,0.09,0.06,6.27,0.87,0.71,30.75,1.72,1.56,25.00,0.00,0.00,0.27,0.11,0.08,0.10,0.14,0.07,3.72,0.55,0.54,110.51,31.64,28.76,0.38
270-G-,M2021,0.24,0.14,0.09,5.90,0.91,0.76,29.43,1.85,1.53,25.00,0.00,0.00,0.36,0.17,0.12,0.13,0.18,0.08,4.01,0.56,0.55,112.29,33.11,29.82,7.04
270-G-,M^-1,0.17,0.10,0.07,6.32,0.92,0.78,30.78,2.14,1.67,25.00,0.00,0.00,0.27,0.12,0.10,0.10,0.14,0.06,3.72,0.55,0.55,111.54,32.72,30.08,0.82
343-G+,K2001,2.69,1.56,1.25,3.77,1.44,0.96,15.85,2.89,1.61,25.00,0.00,0.00,1.80,0.95,0.81,0.64,0.97,0.35,--,--,--,--,--,--,98.05
343-G+,M2021,3.71,1.71,1.33,3.30,1.02,0.81,14.79,1.51,1.28,25.00,0.00,0.00,2.36,1.00,0.80,0.84,1.19,0.55,--,--,--,--,--,--,99.96
343-G+,M^-1,3.56,1.71,1.31,3.35,1.05,0.83,14.91,1.55,1.34,25.00,0.00,0.00,2.29,1.00,0.80,0.81,1.17,0.53,--,--,--,--,--,--,99.83
343-G-,K2001,2.66,1.54,1.23,3.70,1.42,0.96,15.83,2.92,1.62,25.00,0.00,0.00,1.83,0.95,0.83,0.65,0.98,0.35,--,--,--,--,--,--,98.09
343-G-,M2021,3.68,1.72,1.31,3.22,0.98,0.82,14.75,1.50,1.31,25.00,0.00,0.00,2.40,1.03,0.80,0.85,1.21,0.57,--,--,--,--,--,--,100.00
343-G-,M^-1,3.57,1.69,1.33,3.27,1.05,0.82,14.86,1.57,1.35,25.00,0.00,0.00,2.34,1.01,0.81,0.83,1.19,0.54,--,--,--,--,--,--,99.80
353-G+,K2001,0.92,1.00,0.48,5.84,1.77,2.71,20.73,4.67,4.43,25.00,0.00,0.00,0.65,0.78,0.33,0.23,0.50,0.11,--,--,--,--,--,--,80.77
353-G+,M2021,2.30,1.77,0.93,3.28,2.08,1.62,15.54,2.81,2.89,25.00,0.00,0.00,1.66,1.49,0.73,0.59,1.11,0.33,--,--,--,--,--,--,100.00
353-G+,M^-1,1.82,1.72,0.98,3.86,2.54,1.83,16.71,4.69,3.19,25.00,0.00,0.00,1.29,1.34,0.71,0.46,0.93,0.21,--,--,--,--,--,--,94.75
353-G-,K2001,1.13,0.97,0.57,3.99,2.44,1.40,19.00,4.96,3.56,25.00,0.00,0.00,1.06,0.94,0.58,0.37,0.71,0.17,--,--,--,--,--,--,90.01
353-G-,M2021,1.99,1.22,0.82,3.01,1.37,1.04,15.78,3.03,2.24,25.00,0.00,0.00,1.83,1.12,0.78,0.65,1.05,0.37,--,--,--,--,--,--,99.52
353-G-,M^-1,1.82,1.19,0.84,3.18,1.63,1.11,16.34,3.61,2.52,25.00,0.00,0.00,1.67,1.10,0.81,0.59,0.98,0.31,--,--,--,--,--,--,97.40
363-G+,K2001,0.54,0.41,0.23,2.08,0.91,0.69,22.87,3.09,4.50,25.00,0.00,1.92,1.24,0.82,0.50,0.44,0.73,0.26,--,--,--,--,--,--,71.77
363-G+,M2021,1.05,0.78,0.42,1.42,0.71,0.56,17.57,4.22,3.89,25.00,0.00,1.92,2.22,1.55,0.83,0.79,1.33,0.49,--,--,--,--,--,--,96.10
363-G+,M^-1,0.77,0.71,0.37,1.73,0.87,0.69,20.04,4.51,4.86,25.00,0.00,1.92,1.69,1.35,0.74,0.60,1.08,0.34,--,--,--,--,--,--,85.13
363-G-,K2001,0.44,0.44,0.23,1.90,1.22,0.84,23.47,3.79,5.57,25.00,0.00,1.47,1.14,1.15,0.60,0.40,0.81,0.19,--,--,--,--,--,--,61.94
363-G-,M2021,1.16,0.92,0.53,0.90,0.75,0.37,15.58,5.40,4.24,25.00,0.00,1.47,2.98,2.34,1.43,1.05,1.88,0.55,--,--,--,--,--,--,95.89
363-G-,M^-1,0.72,0.92,0.42,1.33,1.22,0.69,19.64,5.88,6.63,25.00,0.00,1.47,1.85,2.41,1.07,0.66,1.51,0.28,--,--,--,--,--,--,78.97
