#sourceid, RA, Dec, l, b, amplP2P, t0PSPL, u0PSPL, tEPSPL, G0PSPL, fsPSPL, chidofPSPL, t0Par, u0Par, tEPar, piENPar, piEEPar, G0Par, fsPar,  chidofPar,t0PSPL_0, u0PSPL_0, tEPSPL_0, chi2PSPL_0, chidofPSPL_0,t0PSPL_1, u0PSPL_1, tEPSPL_1, chi2PSPL_1, chidofPSPL_1,t0PSPL_2, u0PSPL_2, tEPSPL_2, chi2PSPL_2, chidofPSPL_2,t0PSPL_3, u0PSPL_3, tEPSPL_3, chi2PSPL_3, chidofPSPL_3,t0Par_0, u0Par_0, tEPar_0, piENpar_0, piEEPar_0, chi2Par_0, chidofPar_0,t0Par_1, u0Par_1, tEPar_1, piENpar_1, piEEPar_1, chi2Par_1, chidofPar_1,t0Par_2, u0Par_2, tEPar_2, piENpar_2, piEEPar_2, chi2Par_2, chidofPar_2,t0Par_3, u0Par_3, tEPar_3, piENpar_3, piEEPar_3, chi2Par_3, chidofPar_3
4043988927861984256, 269.785291, -31.596972, 359.192067, -3.866266,0.452672,2457830.670761, -0.849784, 62.469110, 16.492759, 0.963729, 1.377436,2457829.857500, -0.844418, 69.993702, 0.319658, 0.150446, 16.490708, 1.000171, 1.285240,2457830.67, -0.850, 62.47, 2727.32, 1.38,2457831.71, 0.996, 76.85, 33484.19, 16.91,2457831.59, 0.996, 76.65, 33541.67, 16.94,2457831.51, 0.996, 76.75, 33562.35, 16.95,2457829.86, -0.844, 69.99, 0.320, 0.150, 2542.21, 1.29,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4041998223399082752, 270.177823, -35.154085, 356.244748, -5.900379,0.685466,2457298.987733, -0.597879, 121.414951, 16.605016, 0.980723, 2.019158,2457296.087356, -0.598382, 116.956980, -0.062403, 0.068088, 16.600066, 0.987398, 1.997306,2457298.98, 0.598, 121.41, 1201.40, 2.02,2457298.99, -0.598, 121.41, 1201.40, 2.02,2454529.81, 0.046, 15.31, 380812.22, 640.02,0.00, 0.000, 0.00, 0.00, 0.00,2457296.09, -0.598, 116.96, -0.062, 0.068, 1184.40, 2.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4055692507632670720, 268.085123, -31.294992, 358.725183, -2.459961,2.552949,2457264.634297, 0.002205, 998.540095, 16.694834, 0.045130, 19941.129888,2457266.251078, -0.004651, 912.762037, 0.892561, 0.221459, 16.576545, 0.047535, 10687.898579,2457264.63, 0.002, 998.54, 21337008.98, 19941.13,2457264.64, -0.016, 140.33, 21391055.48, 19991.64,2457264.64, -0.016, 140.33, 21391056.69, 19991.64,2457264.64, -0.016, 140.31, 21391117.62, 19991.70,2457266.25, -0.005, 912.76, 0.893, 0.221, 11414675.68, 10687.90,2457266.04, 0.004, 887.85, -0.816, 0.295, 11463590.34, 10733.70,2457261.77, 0.004, 999.21, -0.996, 0.999, 11479189.95, 10748.31,2457261.92, 0.004, 999.82, -0.996, 0.999, 11488817.69, 10757.32
4063140771207991168, 271.099113, -27.320399, 3.485148, -2.758065,0.894920,2457064.043379, 0.420982, 63.656114, 16.669030, 1.034067, 3.074841,2457064.864520, -0.427351, 61.531969, -0.430072, 0.048917, 16.669734, 1.030597, 3.072356,2457064.04, 0.421, 63.66, 12837.46, 3.07,2457071.61, -0.554, 66.48, 12990.24, 3.11,2457072.69, -0.602, 68.11, 13006.31, 3.12,2457077.92, -0.534, 70.27, 13012.95, 3.12,2457064.86, -0.427, 61.53, -0.430, 0.049, 12820.94, 3.07,2457065.66, 0.434, 63.28, -0.180, -0.055, 12831.67, 3.07,2457061.55, -0.394, 65.58, 0.364, -0.058, 12833.03, 3.08,2454215.13, -0.706, 989.55, -0.996, 0.995, 15353.24, 3.68
443788525336160512, 57.019496, 52.703130, 147.909500, -1.383391,0.608048,2457851.496581, 0.514713, 111.378764, 16.676652, 0.990566, 0.138185,2458063.209454, 0.065410, 459.770997, 0.401414, -0.150165, 16.680046, 0.684655, 1.240105,2457850.17, -0.526, 111.05, 17.18, 0.14,2457851.50, 0.515, 111.38, 17.27, 0.14,0.00, 0.000, 0.00, 0.00, 0.00,0.00, 0.000, 0.00, 0.00, 0.00,2458091.01, -0.637, 890.32, -0.658, 0.867, 31.37, 0.26,2458063.21, 0.065, 459.77, 0.401, -0.150, 152.53, 1.24,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
5960669348421847040, 265.130126, -40.619987, 349.485356, -5.229597,0.705471,2457630.925884, -0.611136, 96.157402, 16.708654, 1.038574, 0.456989,2457586.339391, -0.561933, 242.388292, -0.471396, 0.097900, 16.714874, 1.013045, 0.502420,2457630.93, -0.611, 96.16, 57.58, 0.46,2457639.25, -0.633, 76.27, 60.11, 0.48,2457629.93, -0.604, 100.05, 62.12, 0.49,2457645.90, 0.657, 67.37, 75.90, 0.60,2457479.05, -0.149, 273.10, -0.921, -0.048, 61.41, 0.50,2457586.34, -0.562, 242.39, -0.471, 0.098, 62.30, 0.50,2457505.57, 0.602, 884.91, 0.886, -0.736, 97.09, 0.78,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4077869107439976320, 278.420827, -23.266248, 10.187778, -6.709718,0.590108,2457100.556095, 0.037399, 998.120187, 16.755068, 0.026624, 9.734170,2457087.666104, -0.042383, 998.827247, -0.055958, 0.010791, 16.753656, 0.028022, 9.487506,2457100.56, 0.037, 998.12, 26399.07, 9.73,2457100.56, -0.037, 997.95, 26399.25, 9.73,0.00, 0.000, 0.00, 0.00, 0.00,0.00, 0.000, 0.00, 0.00, 0.00,2457087.67, -0.042, 998.83, -0.056, 0.011, 25711.14, 9.49,2457087.58, 0.042, 998.74, 0.057, 0.004, 25711.62, 9.49,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4254983555662524288, 283.581378, -4.665689, 29.104879, -2.766540,1.349987,2457437.938012, -0.023057, 60.568437, 16.791530, 0.834885, 2.203237,2457441.243945, 0.228388, 65.635047, -0.502340, -0.552568, 16.792411, 0.973857, 0.234900,2457437.94, -0.023, 60.57, 136.60, 2.20,2457483.97, 0.500, 100.80, 1721.99, 27.77,2457475.63, 0.343, 291.72, 2205.48, 35.57,2457481.54, 0.368, 285.24, 2220.50, 35.81,2457441.24, 0.228, 65.64, -0.502, -0.553, 14.09, 0.23,2457341.99, -0.112, 389.68, 0.994, -0.995, 242.76, 4.05,2457611.61, -0.280, 872.84, 0.984, 0.941, 428.38, 7.14,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4105328207729395584, 280.704747, -13.522462, 19.906042, -4.248749,0.430408,2457709.275996, 0.871662, 88.263095, 16.798306, 1.006804, 0.390121,2457652.247961, 0.797863, 165.017856, 0.444631, 0.091955, 16.802504, 0.851553, 0.853644,2457709.28, 0.872, 88.26, 25.36, 0.39,2457703.77, -0.905, 87.03, 27.18, 0.42,2457706.89, -0.893, 97.13, 27.46, 0.42,2454945.51, 0.050, 137.60, 536.89, 8.26,2457652.25, 0.798, 165.02, 0.445, 0.092, 53.78, 0.85,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00,0.00, 0.000, 0.00, 0.000, 0.000, 0.00, 0.00
4041267941519396352, 264.886208, -35.185952, 354.007378, -2.195193,2.674117,2457296.652230, 0.086027, 57.625203, 16.858328, 1.011774, 4.926181,2457295.381230, 0.105339, 65.856024, 0.449474, -0.389197, 16.886995, 1.205682, 29.357083,2457296.65, 0.086, 57.63, 3423.70, 4.93,2457312.14, -0.263, 86.26, 171580.90, 246.88,2454382.15, 0.459, 15.53, 719276.64, 1034.93,0.00, 0.000, 0.00, 0.00, 0.00,2457295.38, 0.105, 65.86, 0.449, -0.389, 20344.46, 29.36,2457295.09, 0.102, 64.33, 0.410, -0.407, 20394.40, 29.43,2457295.09, 0.102, 63.94, 0.411, -0.407, 20396.33, 29.43,2457295.05, 0.105, 64.34, 0.384, -0.403, 20426.90, 29.48
