#GaiaDR3-ULENS-,t_0,err_t_0_pl,err_t_0_mn,u_0,err_u_0_pl,err_u_0_mn,t_E,err_t_E_pl,err_t_E_mn,pi_EN,err_pi_EN_pl,err_pi_EN_mn,pi_EE,err_pi_EE_pl,err_pi_EE_mn,I_G0,err_I_G0_pl,err_I_G0_mn,fb_G,err_fb_G_pl,err_fb_G_mn,I_BP0,err_I_BP0_pl,err_I_BP0_mn,f_bBP,err_f_bBP_pl,err_f_bBP_mn,I_RP0,err_I_RP0_pl,err_I_RP0_mn,f_bRP,err_f_bRP_pl,err_f_bRP_mn,I_GSA,err_I_GSA_pl,err_I_GSA_mn,f_bGSA,err_f_bGSA_pl,err_f_bGSA_mn,I_V0,err_I_V0_pl,err_I_V0_mn,f_bV,err_f_bV_pl,err_f_bV_mn,I_I0,err_I_I0_pl,err_I_I0_mn,f_bI,err_f_bI_pl,err_f_bI_mn,I_MOA,err_I_MOA_pl,err_I_MOA_mn,f_bMOA,err_f_bMOA_pl,err_f_bMOA_mn,I_KMTA,err_I_KMTA_pl,err_I_KMTA_mn,f_bKMTA,err_f_bKMTA_pl,err_f_bKMTA_mn,I_KMTC,err_I_KMTC_pl,err_I_KMTC_mn,f_bKMTC,err_f_bKMTC_pl,err_f_bKMTC_mn,I_KMTS,err_I_KMTS_pl,err_I_KMTS_mn,f_bKMTS,err_f_bKMTS_pl,err_f_bKMTS_mn,chi2  
284-G0,7841.3028,0.0008,-0.0008,0.0336,0.0001,-0.0001,20.675,0.0094,-0.0046,--,--,--,--,--,--,19.3106,0.0001,-0.0001,0.0005,0.0008,-0.0004,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.8617,0.0001,-0.0001,-0.0272,0.0007,-0.0006,--,--,--,--,--,--,18.2045,0.0001,-0.0001,0,0,0,18.2008,0.0001,-0.0001,0,0,0,18.2078,0.0001,-0.0001,0,0,0,9662.2
284-G+1,7841.3022,0.0008,-0.0008,0.0335,0.0001,-0.0001,20.7106,0.0115,-0.0083,0.9684,0.0236,-0.0515,-0.0123,0.0184,-0.0194,19.31,0.0001,-0.0001,0.0006,0.0009,-0.0004,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.8615,0.0001,-0.0001,-0.023,0.0008,-0.0007,--,--,--,--,--,--,18.2038,0.0001,-0.0001,0,0,0,18.1995,0.0002,-0.0002,0,0,0,18.207,0.0001,-0.0001,0,0,0,9631.4
284-G+2,7841.3047,0.0009,-0.0008,0.0336,0.0001,-0.0001,20.7024,0.0125,-0.0082,-0.9718,0.0483,-0.0214,-0.0974,0.0185,-0.0183,19.3096,0.0001,-0.0001,0.0006,0.001,-0.0005,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.8615,0.0001,-0.0001,-0.0285,0.0008,-0.0007,--,--,--,--,--,--,18.2038,0.0001,-0.0001,0,0,0,18.1994,0.0002,-0.0002,0,0,0,18.207,0.0001,-0.0001,0,0,0,9624.1
284-G-1,7841.3047,0.0008,-0.0009,-0.0335,0.0001,-0.0001,20.7624,0.0114,-0.0086,0.9721,0.021,-0.049,-0.0149,0.0191,-0.0188,19.3098,0.0001,-0.0001,0.0006,0.0009,-0.0004,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.8615,0.0001,-0.0001,-0.0249,0.0007,-0.0006,--,--,--,--,--,--,18.2037,0.0001,-0.0001,0,0,0,18.1993,0.0002,-0.0002,0,0,0,20.0501,0.0038,-0.0042,9625.3,,,
284-G-2,7841.3023,0.0008,-0.0008,-0.0336,0.0001,-0.0001,20.6514,0.0123,-0.0083,-0.9704,0.0495,-0.0219,-0.0952,0.019,-0.0187,19.3098,0.0001,-0.0001,0.0006,0.001,-0.0005,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17.8616,0.0001,-0.0001,-0.0266,0.0008,-0.0007,--,--,--,--,--,--,18.2039,0.0001,-0.0001,0,0,0,18.1996,0.0002,-0.0002,0,0,0,20.0592,0.004,-0.0044,0,0,0,9629.7
326-G0,7316.0492,1.4208,-1.4415,0.6263,0.0107,-0.0216,161.6102,3.898,-2.7949,--,--,--,--,--,--,19.9469,0.0013,-0.0012,0.0373,0.0542,-0.0276,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.3685,0.0004,-0.0004,0.2313,0.0422,-0.0234,--,--,--,--,--,--,18.251,0.0013,-0.0012,0.2519,0.0402,-0.0258,18.2492,0.0017,-0.0015,-0.0229,0.0549,-0.0352,18.2505,0.0011,-0.001,0.3235,0.0366,-0.0238,131
326-G+,7352.3939,2.4081,-2.4279,0.3653,0.0879,-0.0623,157.5998,15.6733,-16.5149,-0.1415,0.0168,-0.0161,0.1228,0.0134,-0.0133,19.9397,0.0015,-0.0015,0.4455,0.1017,-0.1681,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.3691,0.0005,-0.0004,0.4817,0.0923,-0.1504,--,--,--,--,--,--,18.2451,0.0037,-0.0034,0.5096,0.0819,-0.1361,18.2425,0.0048,-0.0043,0.3341,0.111,-0.1844,18.2463,0.0034,-0.003,0.5474,0.0763,-0.126,5563
326-G-,7339.1911,1.3941,-1.4809,-0.59,0.01,-0.008,111.6331,2.9575,-2.6797,0.1768,0.0206,-0.0213,0.1447,0.0131,-0.0129,19.9377,0.0011,-0.0011,0.0148,0.0233,-0.011,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.3681,0.0003,-0.0003,0.0883,0.0281,-0.0254,--,--,--,--,--,--,18.2428,0.0026,-0.0024,0.1575,0.0387,-0.0397,18.2381,0.0033,-0.0031,-0.1415,0.0516,-0.0528,18.2436,0.0023,-0.0021,0.2322,0.0349,-0.0358,5639.6
331-G0,7679.3061,0.0331,-0.0325,0.0963,0.0004,-0.0006,74.8134,0.3547,-0.2252,--,--,--,--,--,--,20.0098,0.0003,-0.0003,0.0048,0.0063,-0.0035,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.3729,0.0002,-0.0001,0.1483,0.006,-0.0037,--,--,--,--,--,--,18.8594,0.001,-0.001,0,0,0,18.8594,0.001,-0.001,0,0,0,18.9018,0.0013,-0.0012,0,0,0,5805.2
331-G+,7679.1938,0.1462,-0.144,0.094,0.002,-0.0022,75.9901,1.6204,-0.9062,0.0519,0.0779,-0.0749,-0.0067,0.0178,-0.0137,20.0116,0.0017,-0.0012,0.0157,0.0201,-0.0114,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.3731,0.0004,-0.0004,0.1551,0.0187,-0.0109,--,--,--,--,--,--,18.8573,0.002,-0.0021,0,0,0,18.8573,0.002,-0.0021,0,0,0,18.8987,0.0028,-0.0029,0,0,0,5806.9
331-G-,7679.2991,0.1563,-0.1449,-0.0952,0.0024,-0.002,75.842,1.6205,-0.8988,0.006,0.0817,-0.0823,-0.0097,0.0105,-0.0119,20.0113,0.0017,-0.0018,0.0153,0.0201,-0.0111,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18.3729,0.0003,-0.0003,0.1583,0.0176,-0.0111,--,--,--,--,--,--,18.8566,0.002,-0.002,0,0,0,18.8566,0.002,-0.002,0,0,0,18.8978,0.0027,-0.0028,0,0,0,5805.2
343-G0,7890.7374,0.0014,-0.0013,0.017,0.0001,-0.0001,124.8813,0.0196,-0.0178,--,--,--,--,--,--,20.3142,0.0001,-0.0001,0.0001,0.0001,-0.0001,--,--,--,--,--,--,18.5798,0.0004,-0.0003,0.455,0.0002,-0.0002,--,--,--,--,--,--,--,--,--,--,--,--,19.0424,0.0001,-0.0001,0.1888,0.0002,-0.0002,15.9272,0.0007,-0.0007,0,0,0,17.5479,0.0001,-0.0001,0.9076,0.0001,-0.0001,17.5576,0.0002,-0.0002,0.7179,0.0002,-0.0002,17.5654,0.0001,-0.0002,0.7179,0.0001,-0.0001,24865.7
343-G+,7890.7132,0.0014,-0.0014,0.0181,0.0001,-0.0001,116.7045,0.1497,-0.1395,0.2897,0.0072,-0.0071,0.1239,0.0022,-0.0022,20.2367,0.0012,-0.0012,0.0005,0.0009,-0.0004,--,--,--,--,--,--,18.5001,0.0016,-0.0016,0.4634,0.0008,-0.0008,--,--,--,--,--,--,--,--,--,--,--,--,19.0343,0.0001,-0.0001,0.1317,0.0012,-0.0011,12.9634,0.0014,-0.0013,0,0,0,17.5377,0.0002,-0.0002,0.9028,0.0001,-0.0001,17.5231,0.0007,-0.0007,0.7096,0.0003,-0.0002,17.5334,0.0007,-0.0007,0.709,0.0002,-0.0002,21902.3
343-G-,7890.7132,0.0014,-0.0014,0.0181,0.0001,-0.0001,116.7045,0.1497,-0.1395,0.2897,0.0072,-0.0071,0.1239,0.0022,-0.0022,20.2367,0.0012,-0.0012,0.0005,0.0009,-0.0004,--,--,--,--,--,--,18.5001,0.0016,-0.0016,0.4634,0.0008,-0.0008,--,--,--,--,--,--,--,--,--,--,--,--,19.0343,0.0001,-0.0001,0.1317,0.0012,-0.0011,12.9634,0.0014,-0.0013,0,0,0,17.5377,0.0002,-0.0002,0.9028,0.0001,-0.0001,17.5231,0.0007,-0.0007,0.7096,0.0003,-0.0002,17.5334,0.0007,-0.0007,0.709,0.0002,-0.0002,21902.3
353-G0,7844.7014,0.133,-0.1315,0.2953,0.0013,-0.0015,122.7868,0.8756,-0.8484,--,--,--,--,--,--,20.479,0.0041,-0.0041,0.0021,0.0034,-0.0016,--,--,--,--,--,--,19.6264,0.0281,-0.0267,-0.9746,0.0513,-0.0552,--,--,--,--,--,--,--,--,--,--,--,--,19.5086,0.0004,-0.0004,-0.3714,0.0089,-0.0085,16.6291,0.0091,-0.0088,0,0,0,18.6145,0.002,-0.0019,0.4218,0.0029,-0.0026,--,--,--,--,--,--,18.4057,0.002,-0.002,0.4553,0.003,-0.0028,7074.2
353-G+,7844.8033,0.1792,-0.1902,0.2841,0.0092,-0.0186,119.7356,5.5407,-3.232,0.2259,0.0235,-0.021,-0.0177,0.0111,-0.01,20.5001,0.0116,-0.0122,0.0559,0.0827,-0.0411,--,--,--,--,--,--,20.1727,0.1776,-0.1545,-2.3322,0.5572,-0.6839,--,--,--,--,--,--,--,--,--,--,--,--,19.5022,0.0008,-0.0008,-0.2762,0.1072,-0.0543,16.4952,0.0159,-0.0155,0,0,0,18.5753,0.0029,-0.0028,0.4975,0.0417,-0.0209,--,--,--,--,--,--,18.3709,0.0027,-0.0026,0.5222,0.0397,-0.0199,6809.1
353-G-1,7844.6009,0.1436,-0.1466,-0.2987,0.0041,-0.0036,105.3511,1.9346,-1.8745,-0.4051,0.0254,-0.0258,-0.036,0.0078,-0.0077,20.4841,0.011,-0.0111,0.0087,0.0143,-0.0065,--,--,--,--,--,--,19.9306,0.1242,-0.1093,-1.7739,0.2871,-0.3634,--,--,--,--,--,--,--,--,--,--,--,--,19.5062,0.0007,-0.0007,-0.3655,0.0238,-0.0211,16.5695,0.0139,-0.0138,0,0,0,18.5919,0.0023,-0.0024,0.4474,0.0094,-0.0084,--,--,--,--,--,--,18.3862,0.0022,-0.0023,0.4761,0.0089,-0.008,6856.7
353-G-2,7846.2305,0.3373,-0.3439,-0.2992,0.0033,-0.0032,180.1448,6.6528,-6.2254,0.3228,0.024,-0.025,-0.0709,0.0108,-0.0104,20.4919,0.0101,-0.0102,0.0051,0.0082,-0.0038,--,--,--,--,--,--,19.8929,0.1019,-0.0923,-1.6385,0.2321,-0.2791,--,--,--,--,--,--,--,--,--,--,--,--,19.5106,0.0006,-0.0006,-0.3813,0.0197,-0.0195,16.6462,0.0128,-0.0124,0,0,0,18.5992,0.0022,-0.0023,0.4358,0.0083,-0.0082,--,--,--,--,--,--,18.3926,0.0022,-0.0022,0.4663,0.0078,-0.0079,6897.9
359-G0,7653.4381,0.0254,-0.025,0.0851,0.0002,-0.0002,93.3656,0.1478,-0.1447,--,--,--,--,--,--,20.6689,0.0004,-0.0004,0.0005,0.0007,-0.0003,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.3224,0.0001,-0.0001,0.1621,0.0009,-0.0007,--,--,--,--,--,--,19.7906,0.0013,-0.0013,0,0,0,19.9198,0.003,-0.0029,0,0,0,19.9397,0.0025,-0.0025,0,0,0,4466.8
359-G+,7652.7825,0.029,-0.0271,0.0193,0.0029,-0.0025,367.8367,52.1421,-46.125,-0.3061,0.0289,-0.03,-0.1161,0.0138,-0.016,20.7046,0.0065,-0.006,0.8018,0.0242,-0.0282,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.3197,0.0011,-0.001,0.8186,0.0237,-0.0278,--,--,--,--,--,--,19.718,0.0103,-0.0102,0,0,0,19.7902,0.0151,-0.0149,0,0,0,19.8196,0.014,-0.014,0,0,0,2720.4
359-G-,7652.8008,0.0271,-0.0265,-0.0223,0.0024,-0.0027,315.8236,36.7158,-33.0852,0.3871,0.0321,-0.0306,-0.0982,0.0109,-0.0121,20.8721,0.0115,-0.012,0.7236,0.0267,-0.0302,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.3273,0.0023,-0.0021,0.7888,0.0231,-0.0263,--,--,--,--,--,--,19.7308,0.0099,-0.0096,0,0,0,19.8104,0.0147,-0.0144,0,0,0,19.8344,0.0134,-0.013,0,0,0,2748
363-G0,7797.5306,0.7492,-0.7784,0.1795,0.0124,-0.0115,163.8575,8.0949,-7.6722,--,--,--,--,--,--,20.938,0.0106,-0.0103,0.3974,0.0393,-0.0428,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.5791,0.0022,-0.0021,0.2726,0.0556,-0.0621,--,--,--,--,--,--,19.4818,0.0047,-0.0046,0.5825,0.0305,-0.0339,19.5297,0.0079,-0.0077,0.288,0.0494,-0.0548,19.5118,0.0086,-0.0085,0.2453,0.0523,-0.0577,5406.7
363-G+,7798.916,0.7036,-0.7301,0.2364,0.0152,-0.0248,97.3967,8.1127,-4.3296,0.2537,0.0222,-0.0231,0.184,0.0224,-0.0224,20.957,0.0161,-0.0149,0.0842,0.1027,-0.0599,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.5602,0.0023,-0.0022,-0.0154,0.1305,-0.0882,--,--,--,--,--,--,19.4652,0.0047,-0.0045,0.4291,0.0732,-0.0505,19.5012,0.0077,-0.0071,0.0358,0.1222,-0.0856,19.4823,0.0086,-0.0081,-0.0192,0.1297,-0.0911,5240.3
363-G-1,7800.0452,0.8669,-0.9263,-0.2441,0.0111,-0.0088,109.908,3.8058,-2.714,0.2708,0.012,-0.0128,0.3209,0.0249,-0.0262,20.9708,0.0149,-0.0143,0.0291,0.044,-0.0217,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.5714,0.0019,-0.0019,-0.0659,0.0635,-0.0554,--,--,--,--,--,--,19.4844,0.0047,-0.0047,0.3866,0.0375,-0.033,19.536,0.0076,-0.0075,-0.0559,0.0646,-0.0578,19.5178,0.0086,-0.0086,-0.1156,0.0691,-0.062,5252.3
363-G-2,7798.898,0.6819,-0.7308,-0.2386,0.0201,-0.0131,95.5055,6.3978,-3.65,-0.2838,0.0239,-0.0224,0.1889,0.0222,-0.0219,20.9594,0.0157,-0.0154,0.0671,0.0856,-0.0482,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,19.5614,0.0021,-0.002,-0.0273,0.107,-0.0783,--,--,--,--,--,--,19.4678,0.0045,-0.0043,0.4202,0.0602,-0.0453,19.5059,0.0071,-0.0069,0.0182,0.1009,-0.077,19.4279,0.0115,-0.0093,0.983,0.0713,-0.0948,5240.7
