#SourceId,RA[deg],Dec[deg],Remarks
GaiaDR3-ULENS-241,268.5875,-33.5901,BLG502.08.145185 OGLE-2017-BLG-0015 MOA-2017-BLG-070 
GaiaDR3-ULENS-242,273.8581,-30.7064,BLG526.28.2567 OGLE-2016-BLG-0495 
GaiaDR3-ULENS-259,116.0932,-28.4434,GD1606.28.7724 Gaia17aqu 
GaiaDR3-ULENS-262,264.3814,-34.2999,BLG609.32.43624 OGLE-2016-BLG-0534 
GaiaDR3-ULENS-265,271.5533,-26.8502,BLG518.15.121322 OGLE-2015-BLG-0254 MOA-2015-BLG-171 
GaiaDR3-ULENS-267,201.1836,-65.1704,GD1274.05.9905 
GaiaDR3-ULENS-269,265.6908,-35.5419,BLG604.16.38216 OGLE-2015-BLG-0158 
GaiaDR3-ULENS-270,264.4790,-28.5589,BLG653.18.3068 OGLE-2016-BLG-0190 KMT-2016-BLG-0892 
GaiaDR3-ULENS-271,251.7296,-50.2151,GD1109.08.2085 
GaiaDR3-ULENS-274,266.8802,-33.2807,BLG660.02.75339 OGLE-2015-BLG-0194 
GaiaDR3-ULENS-275,254.8193,-45.0879,GD1082.31.26433 
GaiaDR3-ULENS-276,224.5879,-61.5870,GD1213.04.5682 
GaiaDR3-ULENS-278,265.8576,-37.0969,BLG605.07.15081 OGLE-2015-BLG-0667 
GaiaDR3-ULENS-280,267.1848,-33.1023,BLG660.08.86517 OGLE-2015-BLG-0808 
GaiaDR3-ULENS-281,267.7460,-33.9717,BLG502.05.67258 OGLE-2016-BLG-1509 KMT-2016-BLG-1386 
GaiaDR3-ULENS-283,266.1584,-25.9204,BLG683.07.41367 
GaiaDR3-ULENS-284,265.5054,-26.2075,BLG652.11.33676 OGLE-2017-BLG-0286 KMT-2017-BLG-0956 
GaiaDR3-ULENS-285,263.9737,-36.6928,BLG672.08.61265 
GaiaDR3-ULENS-287,266.9522,-34.5963,BLG603.01.136791 OGLE-2014-BLG-1803 MOA-2014-BLG-565 
GaiaDR3-ULENS-289,200.7316,-63.7749,GD1273.06.52572 
GaiaDR3-ULENS-291,229.1304,-61.0728,GD1202.12.28001 
GaiaDR3-ULENS-292,256.4340,-28.9851,BLG894.03.9531 
GaiaDR3-ULENS-294,190.3512,-64.9059,GD1297.13.4851 
GaiaDR3-ULENS-296,285.1751,-4.8792,DG1041.09.1613 
GaiaDR3-ULENS-298,251.5272,-43.5606,GD1096.05.24355 
GaiaDR3-ULENS-300,264.6498,-27.2647,BLG675.24.114167 OGLE-2016-BLG-0428 KMT-2016-BLG-0978 
GaiaDR3-ULENS-303,267.4143,-23.5782,BLG639.31.35102 OGLE-2017-BLG-0261 KMT-2017-BLG-2017 
GaiaDR3-ULENS-304,267.1120,-33.4274,BLG502.25.124534 OGLE-2017-BLG-0264 KMT-2017-BLG-0879 
GaiaDR3-ULENS-306,232.1402,-60.2555,GD1188.07.5777 
GaiaDR3-ULENS-308,240.7127,-54.7196,GD1157.19.6827 
GaiaDR3-ULENS-309,272.7051,-22.6155,BLG543.16.58089 OGLE-2016-BLG-1754 Gaia17bbs 
GaiaDR3-ULENS-313,283.4260,-7.1047,DG1030.04.3259 
GaiaDR3-ULENS-318,162.2437,-60.3139,GD1368.05.3561 
GaiaDR3-ULENS-320,283.8803,-8.3216,DG1031.02.9498 
GaiaDR3-ULENS-324,262.5553,-30.2487,BLG662.21.34275 
GaiaDR3-ULENS-325,219.2400,-62.8697,GD1232.09.44403 
